subtopic,usage_count,total_usage,cumulative_usage,cumulative_percentage
tv-smart,1928,4183374,3856428,92.18
great-setting,1917,4183374,3858345,92.23
clear-communication,1915,4183374,3860260,92.28
modern-facility,1912,4183374,3862172,92.32
delicious-cocktail,1911,4183374,3864083,92.37
quiet-noise,1885,4183374,3865968,92.41
delicious-dish,1871,4183374,3867839,92.46
old-towel,1867,4183374,3869706,92.50
free-drink,1855,4183374,3871561,92.55
low-value,1842,4183374,3873403,92.59
slow-server,1823,4183374,3875226,92.63
old-facility,1810,4183374,3877036,92.68
high-price,1805,4183374,3878841,92.72
quick-service,1791,4183374,3880632,92.76
extra-fee,1779,4183374,3882411,92.81
security-excellent,1769,4183374,3884180,92.85
beautiful-design,1768,4183374,3887716,92.93
noisy-guest,1768,4183374,3887716,92.93
bad-review,1759,4183374,3889475,92.97
friendly-attitude,1737,4183374,3891212,93.02
cold-egg,1718,4183374,3892930,93.06
great-menu,1708,4183374,3894638,93.10
beautiful-grounds,1705,4183374,3896343,93.14
poor-setting,1697,4183374,3898040,93.18
beautiful-patio,1681,4183374,3899721,93.22
great-management,1660,4183374,3901381,93.26
great-review,1658,4183374,3903039,93.30
great-renovation,1649,4183374,3904688,93.34
slow-bartender,1648,4183374,3906336,93.38
bright-lighting,1641,4183374,3907977,93.42
delicious-menu,1636,4183374,3911249,93.50
slow-receptionist,1636,4183374,3911249,93.50
clean-beach,1614,4183374,3912863,93.53
live-music,1593,4183374,3916049,93.61
loud-noise,1593,4183374,3916049,93.61
small-tv,1572,4183374,3917621,93.65
broken-machine,1567,4183374,3919188,93.68
hot-tub,1564,4183374,3920752,93.72
clean-apartment,1549,4183374,3922301,93.76
loud-music,1527,4183374,3923828,93.80
fun-entertainment,1522,4183374,3925350,93.83
easy-parking,1519,4183374,3926869,93.87
great-rooftop,1510,4183374,3928379,93.90
hot-temperature,1508,4183374,3929887,93.94
security-poor,1499,4183374,3931386,93.98
positive-attitude,1482,4183374,3932868,94.01
breakfast-local,1481,4183374,3934349,94.05
great-wifi,1468,4183374,3935817,94.08
dirty-window,1462,4183374,3938741,94.15
friendly-worker,1462,4183374,3938741,94.15
constant-noise,1447,4183374,3940188,94.19
extra-towel,1445,4183374,3943078,94.26
old-building,1445,4183374,3943078,94.26
cold-hospitality,1442,4183374,3944520,94.29
pet-allowed,1430,4183374,3945950,94.32
rude-personnel,1425,4183374,3947375,94.36
beautiful-vallarta,1405,4183374,3948780,94.39
beautiful-decoration,1399,4183374,3950179,94.43
old-mattress,1398,4183374,3951577,94.46
clean-suite,1390,4183374,3952967,94.49
checkin-strict,1354,4183374,3954321,94.52
healthy-food,1342,4183374,3957005,94.59
rude-team,1342,4183374,3957005,94.59
convenient-transportation,1341,4183374,3958346,94.62
noisy-machine,1335,4183374,3961016,94.68
poor-suggestion,1335,4183374,3961016,94.68
ample-seating,1323,4183374,3962339,94.72
clean-towel,1321,4183374,3964981,94.78
outdated-decor,1321,4183374,3964981,94.78
dirty-apartment,1317,4183374,3966298,94.81
rude-attitude,1315,4183374,3967613,94.84
fun-fiesta,1297,4183374,3968910,94.87
happy-couple,1296,4183374,3970206,94.90
great-tour,1287,4183374,3971493,94.94
weak-ac,1284,4183374,3972777,94.97
small-property,1281,4183374,3974058,95.00
clean-grounds,1279,4183374,3975337,95.03
clean-bed,1277,4183374,3976614,95.06
expensive-restaurant,1274,4183374,3977888,95.09
fun-event,1261,4183374,3979149,95.12
small-lounge,1230,4183374,3980379,95.15
disruptive-party,1227,4183374,3981606,95.18
entertaining-show,1225,4183374,3982831,95.21
great-suggestion,1223,4183374,3984054,95.24
limited-inclusive,1218,4183374,3985272,95.26
faulty-outlet,1212,4183374,3986484,95.29
beautiful-rooftop,1194,4183374,3987678,95.32
free-activity,1170,4183374,3988848,95.35
great-butler,1163,4183374,3990011,95.38
full-board,1160,4183374,3991171,95.41
local-cuisine,1150,4183374,3992321,95.43
partial-refund,1144,4183374,3993465,95.46
overcooked-meat,1131,4183374,3994596,95.49
quiet-beach,1112,4183374,3995708,95.51
great-concierge,1103,4183374,3996811,95.54
comfortable-furniture,1098,4183374,3997909,95.57
wheelchair-accessible,1093,4183374,3999002,95.59
extensive-buffet,1089,4183374,4000091,95.62
great-vibe,1085,4183374,4001176,95.64
great-class,1081,4183374,4002257,95.67
serious-complaint,1077,4183374,4003334,95.70
pleasant-smell,1074,4183374,4004408,95.72
busy-resort,1057,4183374,4005465,95.75
pet-prohibited,1056,4183374,4007577,95.80
rude-bartender,1056,4183374,4007577,95.80
distant-attraction,1043,4183374,4009663,95.85
extra-cost,1043,4183374,4009663,95.85
disturbed-sleep,1040,4183374,4010703,95.87
delicious-snack,1038,4183374,4011741,95.90
thin-blanket,1029,4183374,4012770,95.92
broken-tile,1028,4183374,4015854,96.00
happy-customer,1028,4183374,4015854,96.00
unhelpful-management,1028,4183374,4015854,96.00
good-review,1023,4183374,4016877,96.02
cold-breakfast,1022,4183374,4017899,96.04
comfortable-temperature,1021,4183374,4018920,96.07
uncomfortable-seating,1018,4183374,4019938,96.09
beautiful-terrace,1014,4183374,4020952,96.12
tv-outdated,1009,4183374,4021961,96.14
easy-access,1003,4183374,4022964,96.17
clean-property,1001,4183374,4023965,96.19
great-club,985,4183374,4024950,96.21
delayed-communication,982,4183374,4025932,96.24
great-cocktail,979,4183374,4026911,96.26
